Symbol,Date,Open,Low,High,Close,Volume,Close-Open
AAPL,1/02/2017,115.82,115.82,115.82,115.82,0,0
AAPL,1/03/2017,115.8,114.76,116.33,116.15,28781865,0.35
AAPL,1/04/2017,115.85,115.75,116.51,116.02,21118116,0.17
AAPL,1/05/2017,115.92,115.81,116.8642,116.61,22193587,0.69
AAPL,1/06/2017,116.78,116.47,118.16,117.91,31751900,1.13
AAPL,1/09/2017,117.95,117.94,119.43,118.99,33561948,1.04
AAPL,1/10/2017,118.77,118.3,119.38,119.11,24462051,0.34
AAPL,1/11/2017,118.74,118.6,119.93,119.75,27588593,1.01
AAPL,1/12/2017,118.895,118.21,119.3,119.25,27086220,0.355
AAPL,1/13/2017,119.11,118.81,119.62,119.04,26111948,-0.07
AAPL,1/16/2017,119.04,119.04,119.04,119.04,0,0
AAPL,1/17/2017,118.34,118.22,120.24,120,34439843,1.66
AAPL,1/18/2017,120,119.71,120.5,119.99,23712961,-0.01
AAPL,1/19/2017,119.4,119.37,120.09,119.78,25597291,0.38
AAPL,1/20/2017,120.45,119.7346,120.45,120,32597892,-0.45
AAPL,1/23/2017,120,119.77,120.81,120.08,22050218,0.08
AAPL,1/24/2017,119.55,119.5,120.1,119.97,23211038,0.42
AAPL,1/25/2017,120.42,120.28,122.1,121.88,32586672,1.46
AAPL,1/26/2017,121.67,121.6,122.44,121.94,26337576,0.27
AAPL,1/27/2017,122.14,121.6,122.35,121.95,20562944,-0.19
AAPL,1/30/2017,120.93,120.66,121.63,121.63,30377503,0.7
AAPL,1/31/2017,121.15,120.62,121.39,121.35,49200993,0.2
AAPL,2/01/2017,127.03,127.01,130.49,128.75,111985040,1.72
AAPL,2/02/2017,127.975,127.78,129.39,128.53,33710411,0.555
AAPL,2/03/2017,128.31,128.16,129.19,129.08,24507301,0.77
AAPL,2/06/2017,129.13,128.9,130.5,130.29,26845924,1.16
AAPL,2/07/2017,130.54,130.45,132.09,131.53,38183841,0.99
AAPL,2/08/2017,131.35,131.22,132.22,132.04,22941341,0.69
AAPL,2/09/2017,131.65,131.12,132.445,132.42,28349859,0.77
AAPL,2/10/2017,132.46,132.05,132.94,132.12,20065458,-0.34
AAPL,2/13/2017,133.08,132.75,133.82,133.29,23035421,0.21
AAPL,2/14/2017,133.47,133.25,135.09,135.02,33226222,1.55
AAPL,2/15/2017,135.52,134.62,136.27,135.51,35623100,-0.01
AAPL,2/16/2017,135.67,134.8398,135.9,135.345,22584555,-0.325
AAPL,2/17/2017,135.1,135.1,135.83,135.72,22198197,0.62
AAPL,2/20/2017,135.72,135.72,135.72,135.72,0,0
AAPL,2/21/2017,136.23,135.98,136.75,136.7,24507156,0.47
AAPL,2/22/2017,136.43,136.11,137.12,137.11,20836932,0.68
AAPL,2/23/2017,137.38,136.3,137.48,136.53,20788186,-0.85
AAPL,2/24/2017,135.91,135.28,136.66,136.66,21776585,0.75
AAPL,2/27/2017,137.14,136.28,137.435,136.93,20257426,-0.21
AAPL,2/28/2017,137.08,136.7,137.435,136.99,23482860,-0.09
AAPL,3/01/2017,137.89,137.595,140.15,139.79,36414585,1.9
AAPL,3/02/2017,140,138.76,140.2786,138.96,26210984,-1.04
AAPL,3/03/2017,138.78,138.59,139.83,139.78,21571121,1
AAPL,3/06/2017,139.365,138.5959,139.77,139.34,21750044,-0.025
AAPL,3/07/2017,139.06,138.79,139.98,139.52,17446297,0.46
AAPL,3/08/2017,138.95,138.82,139.8,139,18707236,0.05
AAPL,3/09/2017,138.74,137.05,138.79,138.68,22155904,-0.06
AAPL,3/10/2017,139.25,138.64,139.3571,139.14,19612801,-0.11
AAPL,3/13/2017,139.16,138.82,139.43,139.2,17421717,0.04
AAPL,3/14/2017,139.3,138.84,139.65,138.99,15309065,-0.31
AAPL,3/15/2017,139.41,139.025,140.7501,140.46,25691774,1.05
AAPL,3/16/2017,140.72,140.26,141.02,140.69,19231998,-0.03
AAPL,3/17/2017,141,139.89,141,139.99,43884952,-1.01
AAPL,3/20/2017,140.4,140.23,141.5,141.46,21542038,1.06
AAPL,3/21/2017,142.11,139.73,142.8,139.84,39529912,-2.27
AAPL,3/22/2017,139.845,139.76,141.6,141.42,25860165,1.575
AAPL,3/23/2017,141.26,140.61,141.5844,140.92,20346301,-0.34
AAPL,3/24/2017,141.5,140.35,141.74,140.64,22395563,-0.86
AAPL,3/27/2017,139.39,138.62,141.22,140.88,23575094,1.49
AAPL,3/28/2017,140.91,140.62,144.04,143.8,33374805,2.89
AAPL,3/29/2017,143.68,143.19,144.49,144.12,29189955,0.44
AAPL,3/30/2017,144.19,143.5,144.5,143.93,21207252,-0.26
AAPL,3/31/2017,143.72,143.01,144.27,143.66,19661651,-0.06
AAPL,4/03/2017,143.71,143.05,144.12,143.7,19985714,-0.01
AAPL,4/04/2017,143.25,143.17,144.89,144.77,19891354,1.52
AAPL,4/05/2017,144.22,143.81,145.46,144.02,27717854,-0.2
AAPL,4/06/2017,144.29,143.45,144.52,143.66,21149034,-0.63
AAPL,4/07/2017,143.73,143.27,144.18,143.34,16672198,-0.39
AAPL,4/10/2017,143.6,142.9,143.8792,143.17,18933397,-0.43
AAPL,4/11/2017,142.94,140.06,143.35,141.63,30379376,-1.31
AAPL,4/12/2017,141.6,141.01,142.15,141.8,20350000,0.2
AAPL,4/13/2017,141.91,141.05,142.38,141.05,17822880,-0.86
AAPL,4/14/2017,141.05,141.05,141.05,141.05,0,0
AAPL,4/17/2017,141.48,140.87,141.88,141.83,16582094,0.35
AAPL,4/18/2017,141.41,141.11,142.04,141.2,14697544,-0.21
AAPL,4/19/2017,141.88,140.45,142,140.68,17328375,-1.2
AAPL,4/20/2017,141.22,141.16,142.92,142.44,23319562,1.22
AAPL,4/21/2017,142.44,141.85,142.68,142.27,17320928,-0.17
AAPL,4/24/2017,143.5,143.18,143.95,143.64,17134333,0.14
AAPL,4/25/2017,143.91,143.87,144.9,144.53,18848191,0.62
AAPL,4/26/2017,144.47,143.3762,144.6,143.68,20041241,-0.79
AAPL,4/27/2017,143.9225,143.31,144.16,143.79,14246347,-0.1325
AAPL,4/28/2017,144.09,143.27,144.3,143.65,20860358,-0.44
AAPL,5/01/2017,145.1,144.96,147.2,146.58,33602943,1.48
AAPL,5/02/2017,147.54,146.84,148.09,147.51,45352194,-0.03
AAPL,5/03/2017,145.59,144.27,147.49,147.06,45697034,1.47
AAPL,5/04/2017,146.52,145.81,147.14,146.53,23371872,0.01
AAPL,5/05/2017,146.76,146.76,148.98,148.96,27327725,2.2
AAPL,5/08/2017,149.03,149.03,153.7,153.01,48752413,3.98
AAPL,5/09/2017,153.87,153.45,154.88,153.99,39130363,0.12
AAPL,5/10/2017,153.63,152.11,153.94,153.26,25805692,-0.37
AAPL,5/11/2017,152.45,152.31,154.07,153.95,27255058,1.5
AAPL,5/12/2017,154.7,154.67,156.42,156.1,32527017,1.4
AAPL,5/15/2017,156.01,155.05,156.65,155.7,26009719,-0.31
AAPL,5/16/2017,155.94,154.72,156.06,155.47,20048478,-0.47
AAPL,5/17/2017,153.6,149.71,154.57,150.25,50767678,-3.35
AAPL,5/18/2017,151.27,151.13,153.34,152.54,33568215,1.27
AAPL,5/19/2017,153.38,152.63,153.98,153.06,26960788,-0.32
AAPL,5/22/2017,154,152.91,154.58,153.99,22966437,-0.01
AAPL,5/23/2017,154.9,153.31,154.9,153.8,19918871,-1.1
AAPL,5/24/2017,153.84,152.67,154.17,153.34,19219154,-0.5
AAPL,5/25/2017,153.73,153.03,154.35,153.87,19235598,0.14
AAPL,5/26/2017,154,153.31,154.24,153.61,21927637,-0.39
AAPL,5/29/2017,153.61,153.61,153.61,153.61,0,0
AAPL,5/30/2017,153.42,153.33,154.43,153.67,20126851,0.25
AAPL,5/31/2017,153.97,152.38,154.17,152.76,24451164,-1.21
AAPL,6/01/2017,153.17,152.22,153.33,153.18,16404088,0.01
AAPL,6/02/2017,153.58,152.89,155.45,155.45,27770715,1.87
AAPL,6/05/2017,154.34,153.46,154.45,153.93,25331662,-0.41
AAPL,6/06/2017,153.9,153.78,155.81,154.45,26624926,0.55
AAPL,6/07/2017,155.02,154.48,155.98,155.37,21069647,0.35
AAPL,6/08/2017,155.25,154.4,155.54,154.99,21250798,-0.26
AAPL,6/09/2017,155.19,146.02,155.19,148.98,64882656,-6.21
AAPL,6/12/2017,145.74,142.51,146.09,145.42,72307330,-0.32
AAPL,6/13/2017,147.16,145.15,147.45,146.59,34165445,-0.57
AAPL,6/14/2017,147.5,143.84,147.5,145.16,31531232,-2.34
AAPL,6/15/2017,143.32,142.21,144.4798,144.29,32165373,0.97
AAPL,6/16/2017,143.78,142.2,144.5,142.27,50361093,-1.51
AAPL,6/19/2017,143.66,143.66,146.74,146.34,32541404,2.68
AAPL,6/20/2017,146.87,144.94,146.87,145.01,24900073,-1.86
AAPL,6/21/2017,145.52,144.61,146.0693,145.87,21265751,0.35
AAPL,6/22/2017,145.77,145.1199,146.7,145.63,19106294,-0.14
AAPL,6/23/2017,145.13,145.11,147.16,146.28,35439389,1.15
AAPL,6/26/2017,147.17,145.38,148.28,145.82,25692361,-1.35
AAPL,6/27/2017,145.01,143.62,146.16,143.73,24761891,-1.28
AAPL,6/28/2017,144.49,143.1601,146.11,145.83,22082432,1.34
AAPL,6/29/2017,144.71,142.28,145.13,143.68,31499368,-1.03
AAPL,6/30/2017,144.45,143.78,144.96,144.02,23024107,-0.43
AAPL,7/03/2017,144.88,143.1,145.3001,143.5,14277848,-1.38
AAPL,7/04/2017,143.5,143.5,143.5,143.5,0,0
AAPL,7/05/2017,143.69,142.7237,144.79,144.09,21569557,0.4
AAPL,7/06/2017,143.02,142.41,143.5,142.73,24128782,-0.29
AAPL,7/07/2017,142.9,142.9,144.75,144.18,19201712,1.28
AAPL,7/10/2017,144.11,143.37,145.95,145.06,21090636,0.95
AAPL,7/11/2017,144.73,144.38,145.85,145.53,19781836,0.8
AAPL,7/12/2017,145.87,144.82,146.18,145.74,24884478,-0.13
AAPL,7/13/2017,145.5,145.44,148.49,147.77,25199373,2.27
AAPL,7/14/2017,147.97,147.33,149.33,149.04,20132061,1.07
AAPL,7/17/2017,148.82,148.57,150.9,149.56,23793456,0.74
AAPL,7/18/2017,149.2,148.67,150.13,150.08,17868792,0.88
AAPL,7/19/2017,150.48,149.95,151.42,151.02,20922969,0.54
AAPL,7/20/2017,151.5,150.19,151.74,150.34,17243748,-1.16
AAPL,7/21/2017,149.99,148.88,150.44,150.27,26252630,0.28
AAPL,7/24/2017,150.58,149.9,152.44,152.09,21493160,1.51
AAPL,7/25/2017,151.8,151.8,153.84,152.74,18853932,0.94
AAPL,7/26/2017,153.35,153.06,153.93,153.46,15780951,0.11
AAPL,7/27/2017,153.75,147.3,153.99,150.56,32476337,-3.19
AAPL,7/28/2017,149.89,149.19,150.23,149.5,17213653,-0.39
AAPL,7/31/2017,149.9,148.13,150.33,148.73,19845920,-1.17
AAPL,8/01/2017,149.1,148.41,150.22,150.05,35368645,0.95
AAPL,8/02/2017,159.28,156.16,159.75,157.14,69936800,-2.14
AAPL,8/03/2017,157.05,155.02,157.21,155.57,27097296,-1.48
AAPL,8/04/2017,156.07,155.69,157.4,156.39,20559852,0.32
AAPL,8/07/2017,157.06,156.6701,158.92,158.81,21870321,1.75
AAPL,8/08/2017,158.6,158.27,161.83,160.08,36205896,1.48
AAPL,8/09/2017,159.26,159.11,161.27,161.06,26131530,1.8
AAPL,8/10/2017,159.9,154.63,160,155.32,40804273,-4.58
AAPL,8/11/2017,156.6,156.07,158.5728,157.48,26257096,0.88
AAPL,8/14/2017,159.32,158.75,160.21,159.85,22122734,0.53
AAPL,8/15/2017,160.66,160.14,162.195,161.6,29465487,0.94
AAPL,8/16/2017,161.94,160.15,162.51,160.95,27671612,-0.99
AAPL,8/17/2017,160.52,157.84,160.71,157.86,27940565,-2.66
AAPL,8/18/2017,157.86,156.72,159.5,157.5,27428069,-0.36
AAPL,8/21/2017,157.5,155.1101,157.89,157.21,26368528,-0.29
AAPL,8/22/2017,158.23,158.02,160,159.78,21604585,1.55
AAPL,8/23/2017,159.07,158.88,160.47,159.98,19399081,0.91
AAPL,8/24/2017,160.43,158.55,160.74,159.27,19818918,-1.16
AAPL,8/25/2017,159.65,159.27,160.56,159.86,25480063,0.21
AAPL,8/28/2017,160.14,159.93,162,161.47,25965972,1.33
AAPL,8/29/2017,160.1,160,163.12,162.91,29516910,2.81
AAPL,8/30/2017,163.8,162.61,163.89,163.35,27269584,-0.45
AAPL,8/31/2017,163.64,163.48,164.52,164,26785096,0.36
AAPL,9/01/2017,164.8,163.63,164.94,164.05,16591051,-0.75
AAPL,9/04/2017,164.05,164.05,164.05,164.05,0,0
AAPL,9/05/2017,163.75,160.56,164.25,162.08,29536314,-1.67
AAPL,9/06/2017,162.71,160.52,162.99,161.91,21651726,-0.8
AAPL,9/07/2017,162.09,160.36,162.24,161.26,21928502,-0.83
AAPL,9/08/2017,160.86,158.53,161.15,158.63,28611535,-2.23
AAPL,9/11/2017,160.5,159.89,162.05,161.5,31580798,1
AAPL,9/12/2017,162.61,158.77,163.96,160.86,71714046,-1.75
AAPL,9/13/2017,159.87,157.91,159.96,159.65,44907361,-0.22
AAPL,9/14/2017,158.99,158.09,159.4,158.28,23760749,-0.71
AAPL,9/15/2017,158.47,158,160.97,159.88,49114602,1.41
AAPL,9/18/2017,160.11,157.995,160.5,158.67,28269435,-1.44
AAPL,9/19/2017,159.51,158.44,159.77,158.73,20810632,-0.78
AAPL,9/20/2017,157.9,153.83,158.26,156.07,52951364,-1.83
AAPL,9/21/2017,155.8,152.75,155.8,153.39,37511661,-2.41
AAPL,9/22/2017,152.02,150.56,152.27,151.89,46645443,-0.13
AAPL,9/25/2017,149.99,149.16,151.83,150.55,44387336,0.56
AAPL,9/26/2017,151.78,151.69,153.92,153.14,36660045,1.36
AAPL,9/27/2017,153.8,153.54,154.7189,154.23,25504227,0.43
AAPL,9/28/2017,153.89,152.7,154.28,153.28,22005455,-0.61
AAPL,9/29/2017,153.21,152,154.13,154.12,26299810,0.91
AAPL,10/02/2017,154.26,152.72,154.45,153.81,18698842,-0.45
AAPL,10/03/2017,154.01,153.91,155.09,154.48,16230293,0.47
AAPL,10/04/2017,153.63,152.46,153.86,153.48,20163750,-0.15
AAPL,10/05/2017,154.18,154.05,155.44,155.39,21283769,1.21
AAPL,10/06/2017,154.97,154.56,155.49,155.3,17407558,0.33
AAPL,10/09/2017,155.81,155.485,156.73,155.84,16262923,0.03
AAPL,10/10/2017,156.055,155.1,158,155.9,15617014,-0.155
AAPL,10/11/2017,155.97,155.75,156.98,156.55,16905640,0.58
AAPL,10/12/2017,156.35,155.7299,157.37,156,16125053,-0.35
AAPL,10/13/2017,156.73,156.41,157.28,156.99,16394188,0.26
AAPL,10/16/2017,157.9,157.65,160,159.88,24121452,1.98
AAPL,10/17/2017,159.78,159.23,160.87,160.47,18997275,0.69
AAPL,10/18/2017,160.42,159.6,160.71,159.76,16374164,-0.66
AAPL,10/19/2017,156.75,155.02,157.08,155.98,42584166,-0.77
AAPL,10/20/2017,156.61,155.96,157.75,156.25,23974146,-0.36
AAPL,10/23/2017,156.89,155.5,157.69,156.17,21984327,-0.72
AAPL,10/24/2017,156.29,156.2,157.42,157.1,17757230,0.81
AAPL,10/25/2017,156.91,155.27,157.55,156.41,21207098,-0.5
AAPL,10/26/2017,157.23,156.78,157.8295,157.41,17000469,0.18
AAPL,10/27/2017,159.29,158.7,163.6,163.05,44454160,3.76
AAPL,10/30/2017,163.89,163.72,168.07,166.72,44700772,2.83
AAPL,10/31/2017,167.9,166.94,169.6499,169.04,36046828,1.14
AAPL,11/01/2017,169.87,165.61,169.94,166.89,33637762,-2.98
AAPL,11/02/2017,167.64,165.28,168.5,168.11,41393373,0.47
AAPL,11/03/2017,174,171.12,174.26,172.5,59398631,-1.5
AAPL,11/06/2017,172.365,171.72,174.99,174.25,35026306,1.885
AAPL,11/07/2017,173.91,173.6,175.25,174.81,24361485,0.9
AAPL,11/08/2017,174.66,174.33,176.24,176.24,24409527,1.58
AAPL,11/09/2017,175.11,173.14,176.095,175.88,29482596,0.77
AAPL,11/10/2017,175.11,174.27,175.38,174.67,25145500,-0.44
AAPL,11/13/2017,173.5,173.4,174.5,173.97,16982080,0.47
AAPL,11/14/2017,173.04,171.18,173.48,171.34,24782487,-1.7
AAPL,11/15/2017,169.97,168.38,170.3197,169.08,29158070,-0.89
AAPL,11/16/2017,171.18,170.3,171.87,171.1,23637484,-0.08
AAPL,11/17/2017,171.04,169.64,171.39,170.15,21899544,-0.89
AAPL,11/20/2017,170.29,169.56,170.56,169.98,16262447,-0.31
AAPL,11/21/2017,170.78,170.78,173.7,173.14,25131295,2.36
AAPL,11/22/2017,173.36,173.05,175,174.96,25588925,1.6
AAPL,11/23/2017,174.96,174.96,174.96,174.96,0,0
AAPL,11/24/2017,175.1,174.6459,175.5,174.97,14026673,-0.13
AAPL,11/27/2017,175.05,173.34,175.08,174.09,20716802,-0.96
AAPL,11/28/2017,174.3,171.86,174.87,173.07,26428802,-1.23
AAPL,11/29/2017,172.63,167.16,172.92,169.48,41666364,-3.15
AAPL,11/30/2017,170.43,168.44,172.14,171.85,41527218,1.42
AAPL,12/01/2017,169.95,168.5,171.67,171.05,39759288,1.1
AAPL,12/04/2017,172.48,169.63,172.62,169.8,32542385,-2.68
AAPL,12/05/2017,169.06,168.4,171.52,169.64,27350154,0.58
AAPL,12/06/2017,167.5,166.46,170.2047,169.01,28560000,1.51
AAPL,12/07/2017,169.03,168.91,170.44,169.32,25673308,0.29
AAPL,12/08/2017,170.49,168.82,171,169.37,23355231,-1.12
AAPL,12/11/2017,169.2,168.79,172.89,172.67,35273759,3.47
AAPL,12/12/2017,172.15,171.461,172.39,171.7,19409230,-0.45
AAPL,12/13/2017,172.5,172,173.54,172.27,23818447,-0.23
AAPL,12/14/2017,172.4,171.65,173.13,172.22,20476541,-0.18
AAPL,12/15/2017,173.63,172.46,174.17,173.97,40169307,0.34
AAPL,12/18/2017,174.88,174.86,177.2,176.42,29421114,1.54
AAPL,12/19/2017,175.03,174.09,175.39,174.54,27436447,-0.49
AAPL,12/20/2017,174.87,173.25,175.42,174.35,23475649,-0.52
AAPL,12/21/2017,174.17,174.1,176.02,175.01,20949896,0.84
AAPL,12/22/2017,174.68,174.5,175.424,175.01,16349443,0.33
AAPL,12/25/2017,175.01,175.01,175.01,175.01,0,0
AAPL,12/26/2017,170.8,169.679,171.47,170.57,33185536,-0.23
AAPL,12/27/2017,170.1,169.71,170.78,170.6,21498213,0.5
AAPL,12/28/2017,171,170.48,171.85,171.08,16480187,0.08
AAPL,12/29/2017,170.52,169.22,170.59,169.23,25999922,-1.29